Hauptartikelnr;Artikelname;Hersteller;Beschreibung;Materialangaben;Geschlecht;Produktart;Ärmel;Bein;Kragen;Herstellung;Taschenart;Grammatur;Material;Ursprungsland;Bildname
102.85;"Paul - Men's Supersoft Organic T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickbündchen, Nackenband, Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit, Neutrales Größenetikett im Nacken ";"100% Bio-Baumwolle ";Herren;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"200 g/m²";Bio-Baumwolle;;102.85.jpg
105.85;"Coco - Women's Tank Top";Nakedshirt;"Single Jersey Hals- und Armausschnitte mit Rippstrick-Einfassung, 
Seitennähte, Doppelnaht am Bund, Medium Fit, Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Damen;T-Shirts;Ärmellos;;Rundhals;Fair;;"155 g/m²";Baumwolle;;105.85.jpg
106.85;"Mia - Women's Organic Fitted Longtop";Nakedshirt;"Single Jersey, Decolletée und Armausschnitte mit dezenter Rippstrick-Einfassung, Seitennähte, Doppelnaht am Bund, Extra lang und körpernah geschnitten, Neutrales Größenetikett im Nacken.";"100 % Bio-Baumwolle";Damen;T-Shirts;Ärmellos;;Boat-Neck;"Fair & Umweltfreundlich";;"155 g/m²";;;106.85.jpg
107.85;"Louise - Women's Fitted Top";Nakedshirt;"Single Jersey, Hals- und Armausschnitte mit Einfassung, Seitennähte, Doppelnaht am Bund, Körpernah geschnitten,  
Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Damen;T-Shirts;Ärmellos;;Boat-Neck;;;"155 g/m²";Baumwolle;;107.85.jpg
110.85;"Mouse - Girl's Fashion T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen,  
Ärmelabschluss und Bund sind gekräuselt, Seitennähte,  
Neutrales Größenetikett im Nacken. ";"100 % Baumwolle";Kinder;T-Shirts;Kurzarm;;Rundhals;Fair;;"155 g/m² ";Baumwolle;;110.85.jpg
111.85;"Lily - Viscose-Cotton T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrick-Bündchen,  
Nackenband, Seitennähte, Doppelnaht an Ärmelabschluss und Bund, Medium Fit ";"70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle";Damen;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"150 g/m²";Viskose;;111.85.jpg
115.85;"Eddie - Men's Organic Stretch T-Shirt";Nakedshirt;"Elasthananteil, Single Jersey, Rundhalsausschnitt mit Einfassung, 
Seitennähte, Doppelnaht an Ärmelabschluss und Bund, 
Körpernaher Schnitt mit Stretch-Effekt, Neutrales Größenetikett im Nacken ";"95% Bio-Baumwolle, 5% Elasthan";Herren;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"185 g/m²";Bio-Baumwollgemisch;;115.85.jpg
118.85;"Wayne - Men's Organic Fitted T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen, 
Nackenband, Seitennähte, Flatlock-Naht an Ärmelabschluss und Bund, Körpernah geschnitten, Neutrales Größenetikett im Nacken. ";"100 % Bio-Baumwolle";Herren;T-Shirts;Kurzarm;;Rundhals;"Fair & Umweltfreundlich";;"155 g/m²";Bio-Baumwolle;;118.85.jpg
119.85;"Judy - Women's Premium T-Shirt";Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Einfassung, Seitennähte, 
Doppelnaht an Ärmelabschluss und Bund, Medium, Fit Neutrales Größenetikett im Nacken. 
";"100% Baumwolle, (Sport Grey Melange: 60% Baumwolle, gekämmt, 40% Polyester)";Damen;T-Shirts;Kurzarm;;Rundhals;Fair;;"175 g/m²";Baumwolle;;119.85.jpg
120.85;"Penny - Women's Organic V-Neck T-Shirt";Nakedshirt;"Single Jersey, V-Neck-Ausschnitt mit Einfassung, Seitennähte,
Doppelnaht an Ärmelabschluss und Bund, Medium Fit, Neutrales Größenetikett im Nacken. ";"100 % Bio-Baumwolle";Damen;T-Shirts;Kurzarm;;V-Ausschnitt;"Fair & Umweltfreundlich";;"155 g/m²";Bio-Baumwolle;;120.85.jpg
